Year,Longitude,Latitude,Target_NDVI,X1_Rain_P_antecedent,X2_Max_Temp_Tmax,X3_Vapor_Deficit_VPD,X5_AET_Annual,X6_Latent_Heat_LE,X7_Soil_Evaporation,X8_Soil_Moisture_SMroot,X9_Rainfall_Anomaly,X10_Elevation
2003,45.675208930323556,45.025205957040356,0.2887782608695652,371.71317932009697,29.910729980468773,0.4292283940248621,253.4918,19.484293,207.65462,178.43257,24.5537355923787,6
2003,45.72520915903765,45.025205957040356,0.2626652173913044,373.41927748918533,29.910729980468773,0.4292283940248621,253.4918,19.484293,207.65462,178.43257,28.769849199868247,5
2003,45.775209387751744,45.025205957040356,0.2260521739130435,362.2531489133835,30.125238037109398,0.4343682372010119,251.51164,19.366302,217.355,179.0373,17.96221063855097,3
2003,45.625208701609466,45.075206185754446,0.30035217391304353,365.74168998003006,29.910729980468773,0.4292283940248621,253.4918,19.484293,207.65462,178.43257,23.574500928683506,5
2003,45.675208930323556,45.075206185754446,0.281,363.76907217502594,29.910729980468773,0.4292283940248621,253.4918,19.484293,207.65462,178.43257,25.5983815443862,3
2003,45.72520915903765,45.075206185754446,0.23947391304347826,364.90425276756287,29.910729980468773,0.4292283940248621,253.4918,19.484293,207.65462,178.43257,32.23014349224866,1
2003,45.775209387751744,45.075206185754446,0.23803478260869565,355.6200634241104,30.125238037109398,0.4343682372010119,251.51164,19.366302,217.355,179.0373,19.705499288804845,-1
2003,45.825209616465834,45.075206185754446,0.2667260869565218,353.14438289403915,30.125238037109398,0.4343682372010119,251.51164,19.366302,217.355,179.0373,23.736640206409334,-4
2003,45.625208701609466,45.125206414468536,0.2453521739130435,371.63796031475067,29.910729980468773,0.4292283940248621,253.4918,19.484293,207.65462,178.43257,31.735067635842654,3
2003,45.675208930323556,45.125206414468536,0.22651739130434786,369.8239580988884,29.910729980468773,0.4292283940248621,253.4918,19.484293,207.65462,178.43257,34.744304593830066,-1
2003,45.72520915903765,45.125206414468536,0.24901739130434786,364.66281592845917,29.910729980468773,0.4292283940248621,253.4918,19.484293,207.65462,178.43257,33.58165105163721,-2
2003,45.775209387751744,45.125206414468536,0.2441695652173913,354.443732380867,30.125238037109398,0.4343682372010119,251.51164,19.366302,217.355,179.0373,20.49915942219849,-3
2003,45.825209616465834,45.125206414468536,0.2484,345.1312195658684,30.125238037109398,0.4343682372010119,251.51164,19.366302,217.355,179.0373,15.287459448736342,-5
2003,45.875209845179924,45.125206414468536,0.24833913043478262,339.2993349432945,30.125238037109398,0.4343682372010119,251.51164,19.366302,217.355,179.0373,17.908040462643953,-5
2003,45.92521007389402,45.125206414468536,0.23722608695652175,333.82485270500183,30.125238037109398,0.4343682372010119,251.51164,19.366302,217.355,179.0373,19.256864725607386,-7
2003,45.97521030260811,45.125206414468536,0.26306521739130434,329.55877417325974,30.125238037109398,0.4343682372010119,251.51164,19.366302,217.355,179.0373,22.560821544627743,-8
2003,45.52520824418128,45.175206643182634,0.21896521739130437,359.7833822965622,29.910729980468773,0.4292283940248621,253.4918,19.484293,207.65462,178.43257,17.56979778097417,3
2003,45.57520847289537,45.175206643182634,0.23568260869565216,363.8266283273697,29.910729980468773,0.4292283940248621,253.4918,19.484293,207.65462,178.43257,22.938977014480884,2
2003,45.625208701609466,45.175206643182634,0.23051739130434787,360.16192150115967,29.910729980468773,0.4292283940248621,253.4918,19.484293,207.65462,178.43257,23.249913772789796,1
2003,45.675208930323556,45.175206643182634,0.23635652173913047,360.7779173254967,29.910729980468773,0.4292283940248621,253.4918,19.484293,207.65462,178.43257,26.428072293423952,-1
2003,45.72520915903765,45.175206643182634,0.23911304347826087,355.6244896054268,29.910729980468773,0.4292283940248621,253.4918,19.484293,207.65462,178.43257,26.706675920656266,-2
2003,45.775209387751744,45.175206643182634,0.2375913043478261,351.51367366313934,30.125238037109398,0.4343682372010119,251.51164,19.366302,217.355,179.0373,20.86021620365102,-2
2003,45.825209616465834,45.175206643182634,0.25752608695652174,344.55519104003906,30.125238037109398,0.4343682372010119,251.51164,19.366302,217.355,179.0373,19.923718501501583,-3
2003,45.875209845179924,45.175206643182634,0.2480913043478261,341.6664776802063,30.125238037109398,0.4343682372010119,251.51164,19.366302,217.355,179.0373,23.154071512150267,-4
2003,45.92521007389402,45.175206643182634,0.23213913043478263,327.72086721658707,30.125238037109398,0.4343682372010119,251.51164,19.366302,217.355,179.0373,18.284487577643574,-8
2003,45.97521030260811,45.175206643182634,0.22684347826086956,324.87174665927887,30.125238037109398,0.4343682372010119,251.51164,19.366302,217.355,179.0373,23.46432836196624,-10
2003,45.375207558039,45.225206871896724,0.2176304347826087,356.14023184776306,29.938562011718773,0.42543727951642496,261.0408,20.03466,209.52315,179.69197,14.974881820297753,10
2003,45.42520778675309,45.225206871896724,0.2164608695652174,357.31624871492386,29.938562011718773,0.42543727951642496,261.0408,20.03466,209.52315,179.69197,19.63095046408847,5
2003,45.47520801546719,45.225206871896724,0.21330869565217392,359.0375533103943,29.938562011718773,0.42543727951642496,261.0408,20.03466,209.52315,179.69197,24.683176761398443,4
2003,45.52520824418128,45.225206871896724,0.2016217391304348,360.13172179460526,29.910729980468773,0.4292283940248621,253.4918,19.484293,207.65462,178.43257,23.080090470282983,3
2003,45.57520847289537,45.225206871896724,0.2388521739130435,361.4317276477814,29.910729980468773,0.4292283940248621,253.4918,19.484293,207.65462,178.43257,24.292350897748463,2
2003,45.625208701609466,45.225206871896724,0.23356521739130437,358.85772812366486,29.910729980468773,0.4292283940248621,253.4918,19.484293,207.65462,178.43257,28.174400320905704,2
2003,45.675208930323556,45.225206871896724,0.23274347826086955,355.9529069662094,29.910729980468773,0.4292283940248621,253.4918,19.484293,207.65462,178.43257,27.803634111205383,-1
2003,45.72520915903765,45.225206871896724,0.22398260869565217,353.7598528265953,29.910729980468773,0.4292283940248621,253.4918,19.484293,207.65462,178.43257,29.26000836775637,0
2003,45.775209387751744,45.225206871896724,0.22419565217391307,343.922331571579,30.125238037109398,0.4343682372010119,251.51164,19.366302,217.355,179.0373,17.77959016364383,-1
2003,45.825209616465834,45.225206871896724,0.2406086956521739,347.3967270851135,30.125238037109398,0.4343682372010119,251.51164,19.366302,217.355,179.0373,26.48654709179226,-2
2003,45.225206871896724,45.275207100610814,0.2235391304347826,367.3866255879402,29.478265380859398,0.41558800262277135,274.21225,21.011253,248.79645,227.86713,18.634807956925556,11
2003,45.275207100610814,45.275207100610814,0.21175217391304352,362.9253379702568,29.545281982421898,0.4187097556210102,271.6426,20.827873,248.71236,226.61555,16.502315384834162,10
2003,45.32520732932491,45.275207100610814,0.22467826086956522,359.3332040309906,29.545281982421898,0.4187097556210102,271.6426,20.827873,248.71236,226.61555,17.638090821811033,9
2003,45.375207558039,45.275207100610814,0.2526,355.27921694517136,29.545281982421898,0.4187097556210102,271.6426,20.827873,248.71236,226.61555,17.674669407491763,8
2003,45.42520778675309,45.275207100610814,0.26473478260869565,363.14531564712524,29.545281982421898,0.4187097556210102,271.6426,20.827873,248.71236,226.61555,30.537969246763453,6
2003,45.47520801546719,45.275207100610814,0.2778478260869565,360.66003173589706,29.545281982421898,0.4187097556210102,271.6426,20.827873,248.71236,226.61555,30.56720411500561,5
2003,45.52520824418128,45.275207100610814,0.28522608695652174,359.3165056705475,29.817285156250023,0.4243390468104239,245.09204,18.78406,204.80666,177.40932,25.15965271342344,4
2003,45.57520847289537,45.275207100610814,0.25288260869565216,358.1732484102249,29.817285156250023,0.4243390468104239,245.09204,18.78406,204.80666,177.40932,25.26875204753037,2
2003,45.625208701609466,45.275207100610814,0.2368695652173913,350.9043791294098,29.817285156250023,0.4243390468104239,245.09204,18.78406,204.80666,177.40932,22.84293394764643,2
2003,45.675208930323556,45.275207100610814,0.22396521739130437,349.3695029616356,29.817285156250023,0.4243390468104239,245.09204,18.78406,204.80666,177.40932,24.054638701394936,2
2003,45.075206185754446,45.32520732932491,0.25215652173913045,379.3497428894043,29.478265380859398,0.41558800262277135,274.21225,21.011253,248.79645,227.86713,14.939889790011307,12
2003,45.125206414468536,45.32520732932491,0.2674347826086957,368.4790282845497,29.478265380859398,0.41558800262277135,274.21225,21.011253,248.79645,227.86713,9.966884687691447,11
2003,45.175206643182634,45.32520732932491,0.2499478260869565,367.65733301639557,29.478265380859398,0.41558800262277135,274.21225,21.011253,248.79645,227.86713,15.509240041959117,9
2003,45.225206871896724,45.32520732932491,0.20774782608695652,357.82658994197845,29.478265380859398,0.41558800262277135,274.21225,21.011253,248.79645,227.86713,11.79889781091083,9
2003,45.275207100610814,45.32520732932491,0.22163043478260872,355.24923026561737,29.545281982421898,0.4187097556210102,271.6426,20.827873,248.71236,226.61555,12.829125476855893,9
2003,45.32520732932491,45.32520732932491,0.22553478260869567,350.1059856414795,29.545281982421898,0.4187097556210102,271.6426,20.827873,248.71236,226.61555,13.716529864497772,6
2003,45.375207558039,45.32520732932491,0.24430869565217392,343.3529372215271,29.545281982421898,0.4187097556210102,271.6426,20.827873,248.71236,226.61555,11.027179963919934,5
2003,45.42520778675309,45.32520732932491,0.25328695652173916,345.0795179605484,29.545281982421898,0.4187097556210102,271.6426,20.827873,248.71236,226.61555,17.666837822212926,6
2003,45.47520801546719,45.32520732932491,0.27786086956521744,340.682856798172,29.545281982421898,0.4187097556210102,271.6426,20.827873,248.71236,226.61555,17.45921886129065,5
2003,45.52520824418128,45.32520732932491,0.2338304347826087,345.8162171244621,29.817285156250023,0.4243390468104239,245.09204,18.78406,204.80666,177.40932,18.13253286224608,3
2003,45.57520847289537,45.32520732932491,0.26861739130434786,350.5328004360199,29.817285156250023,0.4243390468104239,245.09204,18.78406,204.80666,177.40932,24.057321885223985,1
2003,45.625208701609466,45.32520732932491,0.26211304347826087,342.08387410640717,29.817285156250023,0.4243390468104239,245.09204,18.78406,204.80666,177.40932,18.432270159443362,0
2003,46.0252105313222,45.32520732932491,0.22531304347826087,316.8370729088783,30.814202880859398,0.42927492523632105,285.64075,21.970592,265.07486,287.16483,17.337420071335487,-8
2003,44.92520549961217,45.375207558039,0.1648826086956522,392.06019204854965,29.682092285156273,0.4202483152231676,287.6215,22.064507,254.5193,233.55907,21.42770661786176,14
2003,44.97520572832626,45.375207558039,0.2337782608695652,387.5714570879936,29.682092285156273,0.4202483152231676,287.6215,22.064507,254.5193,233.55907,19.01042045316518,14
2003,45.025205957040356,45.375207558039,0.1973608695652174,385.0271902680397,29.478265380859398,0.41558800262277135,274.21225,21.011253,248.79645,227.86713,15.581266679251769,13
2003,45.075206185754446,45.375207558039,0.20596086956521742,378.4337208867073,29.478265380859398,0.41558800262277135,274.21225,21.011253,248.79645,227.86713,14.714979157426114,11
2003,45.125206414468536,45.375207558039,0.21595652173913046,369.8002420067787,29.478265380859398,0.41558800262277135,274.21225,21.011253,248.79645,227.86713,13.655188377332138,10
2003,45.175206643182634,45.375207558039,0.26731304347826085,366.8772502541542,29.478265380859398,0.41558800262277135,274.21225,21.011253,248.79645,227.86713,18.52144806906034,10
2003,45.225206871896724,45.375207558039,0.25883478260869563,358.4806771874428,29.478265380859398,0.41558800262277135,274.21225,21.011253,248.79645,227.86713,15.632291693971297,11
2003,45.275207100610814,45.375207558039,0.23241304347826086,355.54523664712906,29.545281982421898,0.4187097556210102,271.6426,20.827873,248.71236,226.61555,19.20743149387397,11
2003,45.32520732932491,45.375207558039,0.21112608695652177,346.971661567688,29.545281982421898,0.4187097556210102,271.6426,20.827873,248.71236,226.61555,15.35989716567201,6
2003,45.375207558039,45.375207558039,0.24046521739130436,341.33267360925674,29.545281982421898,0.4187097556210102,271.6426,20.827873,248.71236,226.61555,14.012646406081444,5
2003,45.42520778675309,45.375207558039,0.2762391304347826,340.181467294693,29.545281982421898,0.4187097556210102,271.6426,20.827873,248.71236,226.61555,19.378112713645635,7
2003,45.47520801546719,45.375207558039,0.23970434782608696,332.4003705382347,29.545281982421898,0.4187097556210102,271.6426,20.827873,248.71236,226.61555,15.198119772756854,5
2003,46.0252105313222,45.375207558039,0.22750434782608697,309.21860188245773,30.814202880859398,0.42927492523632105,285.64075,21.970592,265.07486,287.16483,15.190198307704577,-11
2003,44.82520504218398,45.42520778675309,0.2479478260869565,417.859355866909,29.682092285156273,0.4202483152231676,287.6215,22.064507,254.5193,233.55907,38.07712365795453,13
2003,44.87520527089808,45.42520778675309,0.2090608695652174,413.92109060287476,29.682092285156273,0.4202483152231676,287.6215,22.064507,254.5193,233.55907,37.97668122336307,13
2003,44.92520549961217,45.42520778675309,0.25276521739130436,396.33725142478943,29.682092285156273,0.4202483152231676,287.6215,22.064507,254.5193,233.55907,31.03616376281525,13
2003,44.97520572832626,45.42520778675309,0.28275652173913046,388.63463485240936,29.682092285156273,0.4202483152231676,287.6215,22.064507,254.5193,233.55907,28.39011548625865,15
2003,45.025205957040356,45.42520778675309,0.26348695652173915,382.1242402791977,29.478265380859398,0.41558800262277135,274.21225,21.011253,248.79645,227.86713,23.03736230532803,16
